model,split_type,accuracy,precision,recall,f1_score,roc_auc
SVM,5_fold_cv,0.7909090909090908,0.7948051948051947,0.9882352941176471,0.8807017543859649,0.7439869281045752
Random Forest,5_fold_cv,0.7545454545454545,0.7875119617224879,0.9424836601307189,0.856826056826057,0.6270915032679738
XGBoost,5_fold_cv,0.7454545454545455,0.7897919040024304,0.918954248366013,0.8481082123187387,0.5940522875816993
Neural Network,5_fold_cv,0.7363636363636363,0.8067105263157895,0.8718954248366014,0.8368550368550369,0.6266013071895425
XGBoost,train_test,0.8181818181818182,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.7294117647058823
Neural Network,train_test,0.8181818181818182,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7294117647058823
SVM,train_test,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,0.7411764705882353
Random Forest,train_test,0.7727272727272727,0.8,0.9411764705882353,0.8648648648648649,0.7411764705882352
