model,split_type,accuracy,precision,recall,f1_score,roc_auc
XGBoost,train_test,0.8181818181818182,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.7294117647058823
Neural Network,train_test,0.8181818181818182,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7294117647058823
SVM,train_test,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,0.7411764705882353
Random Forest,train_test,0.7727272727272727,0.8,0.9411764705882353,0.8648648648648649,0.7411764705882352
